Artist,Title,Format,Price,Status,Order Date,Order Number
Raekwon,Only Built 4 Cuban Linx,2xLP Vinyl,39.99,Shipped,,
Bad Manners,ALL THE BEST LIVE,Vinyl Record,18.99,Processing,,
Jaylib,Champion Sound,Vinyl Record,23.99,Open Backorder,,
Talking Heads,Stop Making Sense (Deluxe/2LP),Vinyl Record,30.99,Processing,,
Michael Jackson,Thriller (Gatefold LP Jacket),Vinyl Record,14.99,Processing,,
Gojira,Magma Black Vinyl,Vinyl,19.99,Shipped,2024-08-03,CONF8884002-10539875
Leatherface,Mush,Vinyl Record,22.99,Open Backorder,2024-08-03,CONF8884002-10539789
Leatherface,Horsebox,Vinyl Record,11.99,Open Backorder,2024-08-03,CONF8884002-10539789
Ida Haendel / Paavo Berglund,SIBELIUS: VIOLIN CONCERTO 2 SERENADES,Vinyl Record,14.99,Processing,2024-08-03,CONF8884002-10539789
Bonobo,NORTH BORDERS,Vinyl Record,23.99,Open Backorder,2024-07-28,CONF8884002-10525751
Nas,Illmatic,Vinyl Record,22.99,Processing,2024-07-28,CONF8884002-10525751
People Under The Stairs,Original Soundtrack,Vinyl Record,23.99,Processing,2024-07-28,CONF8884002-10525485
Otis Redding,Otis Blue: Otis Redding Sings Soul,Vinyl Record,19.99,Processing,2024-07-28,CONF8884002-10525287
The National,Alligator,Vinyl Record,23.49,Shipped,2024-07-28,CONF8884002-10523332
The National,Boxer,Vinyl Record,23.49,Shipped,2024-07-28,CONF8884002-10523332
The Ocean,Phanerozoic I: Palaeozoic,Vinyl Record,29.99,Shipped,2024-07-28,CONF8884002-10523332
Alcest,Kodama,Vinyl Record,17.99,Open Backorder,2024-07-28,CONF8884002-10523332
The Ocean,PHANEROZOIC II: MESOZOIC - CENOZOIC,Vinyl Record,16.99,Open Backorder,2024-07-28,CONF8884002-10523332
Caribou,Our Love,Vinyl Record,13.99,Processing,2024-07-28,CONF8884002-10523332
Alcest,Spiritual Instinct,Vinyl Record,18.49,Processing,2024-07-28,CONF8884002-10523332
Alcest,LES VOYAGES DE L'AME,Vinyl Record,22.99,Processing,2024-07-28,CONF8884002-10523332
The Ocean,Phanerozoic Live,Vinyl Record,42.49,Processing,2024-07-28,CONF8884002-10523332
Buju Banton,TIL SHILOH 25TH ANNIVERSARY EDITION,Vinyl Record,28.99,Processing,2024-07-28,CONF8884002-10523332
Opeth,Damnation (20th Anniversary/180g),Vinyl Record,19.99,Processing,2024-07-28,CONF8884002-10523332
Bossk,Audio Noir,Vinyl Record,19.99,Processing,2024-07-28,CONF8884002-10523332
Minor Threat,Out of Step,Vinyl Record,17.99,Processing,2024-07-28,CONF8884002-10523332
The Postal Service,Give Up (Limited Edition/Blue w/ Metallic Silver),Vinyl Record,14.99,Processing,2024-07-28,CONF8884002-10523332
Talking Heads,Stop Making Sense (Deluxe/2LP),Vinyl Record,31.99,Processing,2024-07-28,CONF8884002-10523332
Deftones,Around The Fur (180g),Vinyl Record,19.99,Processing,2024-07-28,CONF8884002-10523332
Miles Davis,Kind Of Blue (Limited/180-Gram),Vinyl Record,14.49,Processing,2024-07-28,CONF8884002-10523332
Turnover,Peripheral Vision (Clear Orange),Vinyl Record,16.99,Processing,2024-07-28,CONF8884002-10523332
Arcade Fire,Funeral,Vinyl Record,,,2024-07-28,CONF8884002-10523332